Date;Precipitation in inch;Soil humidity in %;Temperature of air in celcius;Temperature of soil in celcius;Wind speed in miles/hour;Relative humidity;Solar radiation in megajoule/meter
14-10-2023;0.000;24.9;6.1;15.7;1.7;94;16
15-10-2023;1.330;31.6;8.4;14.2;3.6;90;1
16-10-2023;0.000;28.8;8.2;14.3;2.2;85;9
17-10-2023;0.000;28.1;10.4;14.7;2.1;86;9
18-10-2023;0.000;27.5;5.2;14.5;1.4;98;9
19-10-2023;0.000;27.0;3.7;14.5;1.1;98;9
20-10-2023;0.000;26.4;14.5;14.3;3.2;77;11
21-10-2023;0.200;26.4;12.2;14.7;2.9;99;6
22-10-2023;0.000;26.8;8.4;14.8;4.1;72;8
23-10-2023;0.000;26.4;8.6;13.9;4.1;59;10
24-10-2023;0.000;25.9;1.9;13.3;2.2;92;15
25-10-2023;0.000;25.4;7.5;13.2;2.2;83;14
26-10-2023;0.000;25.0;10.3;13.9;1.5;89;10
27-10-2023;0.000;24.7;12.8;14.5;1.5;80;12
28-10-2023;0.000;24.3;16.6;15.1;1.9;86;8
29-10-2023;0.000;24.0;15.0;15.8;2.7;79;7
30-10-2023;0.060;23.6;11.0;15.0;2.8;96;2
31-10-2023;0.380;24.9;6.7;14.5;2.7;70;1
1-11-2023;0.000;25.5;3.4;13.2;1.9;84;13
2-11-2023;0.000;25.3;-1.7;11.8;2.9;77;7
3-11-2023;0.000;25.0;0.0;10.9;2.4;71;13
4-11-2023;0.000;24.8;8.2;10.6;3.6;51;13
5-11-2023;0.000;24.6;7.0;11.0;1.3;72;6
6-11-2023;0.000;24.4;4.6;11.3;2.4;85;11
7-11-2023;0.000;24.1;13.0;11.3;4.4;70;11
8-11-2023;0.080;23.8;9.8;12.1;4.0;62;11
9-11-2023;0.000;23.6;8.1;11.3;3.2;44;11
10-11-2023;0.000;23.4;8.5;11.7;4.1;60;7
11-11-2023;0.000;23.1;2.7;11.0;2.2;93;4
12-11-2023;0.000;22.8;3.2;10.5;2.0;71;7
13-11-2023;0.000;22.7;-4.0;9.6;2.2;94;10
14-11-2023;0.000;22.5;-1.6;8.9;2.2;94;10
15-11-2023;0.000;22.2;-0.1;9.0;3.4;87;11
16-11-2023;0.000;22.0;4.3;8.8;2.3;76;10
17-11-2023;0.000;22.0;6.1;9.1;2.2;65;10
18-11-2023;0.010;21.9;13.2;9.8;3.6;90;7
19-11-2023;0.070;21.7;-0.7;9.6;3.7;84;10
20-11-2023;0.000;21.6;2.8;8.7;3.0;69;10
21-11-2023;0.000;21.5;0.2;7.9;2.5;56;9
22-11-2023;1.400;32.0;7.5;7.1;8.0;94;1
23-11-2023;0.030;28.4;7.4;8.3;3.6;78;2
24-11-2023;0.000;27.7;5.4;8.5;4.3;71;9
25-11-2023;0.000;27.1;-1.2;8.3;3.7;59;9
26-11-2023;0.000;26.7;-1.0;7.0;2.0;71;9
27-11-2023;0.070;26.4;3.9;7.1;3.1;98;6
28-11-2023;0.000;26.7;0.8;6.8;4.6;55;3
29-11-2023;0.000;26.3;-4.9;5.9;6.3;61;8
30-11-2023;0.000;26.0;-1.3;5.0;3.9;54;7
1-12-2023;0.000;26.0;3.2;5.2;3.0;64;8
2-12-2023;0.220;26.2;4.6;5.4;1.8;98;2
3-12-2023;0.010;27.3;6.1;6.7;1.0;99;4
4-12-2023;0.320;29.2;8.1;7.6;3.5;74;1
5-12-2023;0.000;28.2;1.2;7.0;3.2;84;2
6-12-2023;0.000;27.6;1.6;6.5;1.8;89;2
